"start","end","radiations"
1591419600,1591423200,72.96
1591423200,1591426800,144.32
1591426800,1591430400,242.72
1591430400,1591434000,368.24
1591434000,1591437600,490.56
1591437600,1591441200,615.76
1591441200,1591444800,738.64
1591444800,1591448400,848.72
1591448400,1591452000,652.08
1591452000,1591455600,728.88
1591455600,1591459200,724.32
1591459200,1591462800,651.92
1591462800,1591466400,299.28
1591466400,1591470000,277.92
1591470000,1591473600,228.32
1591473600,1591477200,144.56
1591477200,1591480800,64.8
1591480800,1591484400,20.5866666666667
1591484400,1591488000,0
1591488000,1591491600,0
1591491600,1591495200,0
1591495200,1591498800,0
1591498800,1591502400,0.8
1591502400,1591506000,18.08
1591506000,1591509600,69.52
1591509600,1591513200,145.84
1591513200,1591516800,242.16
1591516800,1591520400,360.4
1591520400,1591524000,481.84
1591524000,1591527600,437.6
1591527600,1591531200,687.6
1591531200,1591534800,784.4
1591534800,1591538400,628.56
1591538400,1591542000,452.8
1591542000,1591545600,613.36
1591545600,1591549200,571.12
1591549200,1591552800,261.12
1591552800,1591556400,175.68
1591556400,1591560000,167.36
1591560000,1591563600,129.04
1591563600,1591567200,44.88
1591567200,1591570800,12.16
1591570800,1591574400,0
1591574400,1591578000,0
1591578000,1591581600,0
1591581600,1591585200,0
1591585200,1591588800,0.8
1591588800,1591592400,34.8
1591592400,1591596000,66.72
1591596000,1591599600,147.2
1591599600,1591603200,263.84
1591603200,1591606800,340
1591606800,1591610400,224
1591610400,1591614000,217.2
1591614000,1591617600,403.2
1591617600,1591621200,356
1591621200,1591624800,218.64
1591624800,1591628400,342.48
1591628400,1591632000,324.32
1591632000,1591635600,211.44
1591635600,1591639200,107.92
1591639200,1591642800,282.88
1591642800,1591646400,184.72
1591646400,1591650000,160.64
1591650000,1591653600,46.56
1591653600,1591657200,11.3066666666667
1591657200,1591660800,0
1591660800,1591664400,0
1591664400,1591668000,0
1591668000,1591671600,0
1591671600,1591675200,0.8
1591675200,1591678800,21.76
1591678800,1591682400,34.64
1591682400,1591686000,84.32
1591686000,1591689600,126.8
1591689600,1591693200,188.32
1591693200,1591696800,214.08
1591696800,1591700400,327.12
1591700400,1591704000,591.12
1591704000,1591707600,350
1591707600,1591711200,336.4
1591711200,1591714800,323.52
1591714800,1591718400,580.72
1591718400,1591722000,340.16
1591722000,1591725600,208.48
1591725600,1591729200,93.04
1591729200,1591732800,116.32
1591732800,1591736400,156.72
1591736400,1591740000,51.52
1591740000,1591743600,11.84
1591743600,1591747200,0
1591747200,1591750800,0
1591750800,1591754400,0
1591754400,1591758000,0
1591758000,1591761600,0.8
1591761600,1591765200,17.52
1591765200,1591768800,83.2
1591768800,1591772400,115.2
1591772400,1591776000,245.52
1591776000,1591779600,388.48
1591779600,1591783200,389.28
1591783200,1591786800,412.64
1591786800,1591790400,316.48
1591790400,1591794000,638.64
1591794000,1591797600,590.88
1591797600,1591801200,665.52
1591801200,1591804800,305.04
1591804800,1591808400,405.2
1591808400,1591812000,346.96
1591812000,1591815600,383.68
1591815600,1591819200,233.76
1591819200,1591822800,137.52
1591822800,1591826400,62.16
1591826400,1591830000,16.64
1591830000,1591833600,0
1591833600,1591837200,0
1591837200,1591840800,0
1591840800,1591844400,0
1591844400,1591848000,0.72
1591848000,1591851600,18.64
1591851600,1591855200,69.6
1591855200,1591858800,146.08
1591858800,1591862400,243.84
1591862400,1591866000,373.04
1591866000,1591869600,248.16
1591869600,1591873200,440.24
1591873200,1591876800,719.84
1591876800,1591880400,708.32
1591880400,1591884000,356.8
1591884000,1591887600,319.28
1591887600,1591891200,681.12
1591891200,1591894800,439.92
1591894800,1591898400,255.12
1591898400,1591902000,50
1591902000,1591905600,205.6
1591905600,1591909200,86
1591909200,1591912800,76.88
1591912800,1591916400,24.32
1591916400,1591920000,0
1591920000,1591923600,0
1591923600,1591927200,0
1591927200,1591930800,0
1591930800,1591934400,1.52
1591934400,1591938000,36.08
1591938000,1591941600,119.12
1591941600,1591945200,154.96
1591945200,1591948800,246.24
1591948800,1591952400,382.72
1591952400,1591956000,512.4
1591956000,1591959600,611.68
1591959600,1591963200,738.16
1591963200,1591966800,830.64
1591966800,1591970400,814.4
1591970400,1591974000,838.08
1591974000,1591977600,761.68
1591977600,1591981200,631.68
1591981200,1591984800,469.92
1591984800,1591988400,404.32
1591988400,1591992000,269.6
1591992000,1591995600,147.68
1591995600,1591999200,48.8
1591999200,1592002800,21.5466666666667
1592002800,1592006400,0
1592006400,1592010000,0
1592010000,1592013600,0
1592013600,1592017200,0
1592017200,1592020800,1.04
1592020800,1592024400,24.8
1592024400,1592028000,51.84
1592028000,1592031600,118.4
1592031600,1592035200,189.84
1592035200,1592038800,264
1592038800,1592042400,256.32
1592042400,1592046000,592.64
1592046000,1592049600,670
1592049600,1592053200,729.92
1592053200,1592056800,657.52
1592056800,1592060400,711.68
1592060400,1592064000,595.84
1592064000,1592067600,610.96
1592067600,1592071200,477.2
1592071200,1592074800,246.56
1592074800,1592078400,114.96
1592078400,1592082000,120.24
1592082000,1592085600,24.16
1592085600,1592089200,8.32
1592089200,1592092800,0
1592092800,1592096400,0
1592096400,1592100000,0
1592100000,1592103600,0
1592103600,1592107200,1.12
1592107200,1592110800,32.8
1592110800,1592114400,90.96
1592114400,1592118000,175.92
1592118000,1592121600,168.96
1592121600,1592125200,401.12
1592125200,1592128800,509.2
1592128800,1592132400,677.2
