timestamp,z0.6_y0.0_x0.0,z0.6_y0.0_x0.25,z0.6_y0.0_x0.5,z0.6_y0.0_x0.8,z0.4_y0.0_x0.0,z0.4_y0.0_x0.25,z0.4_y0.0_x0.5,z0.4_y0.0_x0.8,z0.2_y0.0_x0.0,z0.2_y0.0_x0.25,z0.2_y0.0_x0.5,z0.2_y0.0_x0.8
1631739600,-557.2874168604,-337.0113677244,-397.79576780160005,-625.091319,-27.9897075111,-209.03368047509997,-610.6707530496,-862.5739438911,-21.6164720124,-31.6773264384,-245.7106419375,-788.4875683775999
1631743200,-555.8066167671,-334.0569151164,-397.4293318656,-623.2235604444,-28.325010716399998,-210.3463851831,-610.3143367104,-860.9819541744,-21.6164720124,-31.6773264384,-244.2168212079,-785.7044865984
1631746800,-554.3255272176,-331.5170625759,-397.79576780160005,-622.1115767919,-28.325010716399998,-211.33077696,-609.95790336,-858.6148104999,-21.6164720124,-31.6773264384,-243.4698087759,-784.4865459696001
1631750400,-553.5624287271,-328.9302047919,-397.4293318656,-619.9316069376,-28.325010716399998,-212.3150515191,-609.5568955071,-855.4286576199,-21.6164720124,-31.6773264384,-242.3491625439,-781.70189916
1631754000,-551.7216986844,-326.3425134591,-397.0628789184,-618.8191315551001,-28.325010716399998,-212.64311699040002,-608.0863491804,-852.6718921671,-21.6164720124,-31.3900361244,-240.8547294111,-779.2644401136
1631757600,-550.2398109375,-323.8002195456,-397.0628789184,-617.7064900476,-28.325010716399998,-212.9711694375,-606.9721062279,-849.8709378875999,-21.6164720124,-31.3900361244,-239.7337259439,-777.2616180444
1631761200,-548.7576337344,-320.8409017344,-396.69640896,-616.2375488871,-28.325010716399998,-213.2992088604,-606.2589035559,-847.8880455024,-21.6164720124,-31.3900361244,-239.3600240991,-776.8696957671001
1631764800,-547.2302393244,-319.36083456,-396.69640896,-615.1245219696,-28.325010716399998,-213.6272352591,-604.7877081455999,-845.5164576519,-21.6164720124,-31.3900361244,-237.81832417560003,-776.8696957671001
1631768400,-545.3879726919,-316.7700620736,-396.3299219904,-614.7237916119,-28.325010716399998,-213.6272352591,-603.6729734631,-843.1440657564,-21.6164720124,-31.3900361244,-237.07072911,-775.6502443311
1631772000,-544.2644200944001,-315.28924640639997,-396.69640896,-613.2542627676,-28.6124030976,-213.9552486336,-602.9148589883999,-841.1592659904,-21.6164720124,-31.3900361244,-235.94920892759998,-776.0857866230998
1631775600,-543.5003094375,-313.4841343119,-396.69640896,-613.2542627676,-28.6124030976,-213.9552486336,-602.5580726556,-840.3392932599,-21.6164720124,-31.6773264384,-235.94920892759998,-777.2616180444
1631779200,-542.4214342071,-311.6323173279,-396.69640896,-613.6550720679,-28.6124030976,-214.2832489839,-602.2012693116001,-839.1739037916002,-21.9040876656,-31.6773264384,-235.57533484439998,-779.2644401136
1631782800,-541.2974430396,-310.8914714559,-397.4293318656,-614.7237916119,-28.9476821151,-214.61123631,-601.7998452159,-839.1739037916002,-21.9040876656,-31.6773264384,-235.57533484439998,-781.26669975
1631786400,-540.1732857471,-310.1505575391,-397.0628789184,-615.1245219696,-28.9476821151,-215.26717188959998,-601.4430057231,-839.5623884775,-21.9040876656,-31.6773264384,-235.57533484439998,-783.2683969536
1631790000,-539.4087638976,-309.4095755775,-397.0628789184,-614.7237916119,-28.9476821151,-215.92305537240003,-601.4430057231,-839.9508516336,-21.9040876656,-31.3900361244,-236.3230659996,-785.2695317244
1631793600,-541.2974430396,-310.8914714559,-397.4293318656,-614.3675687751,-29.235053763899998,-217.5625361559,-601.7998452159,-840.7277133564,-21.9040876656,-31.3900361244,-236.6969060604,-787.2701040624
1631797200,-542.0168165244,-312.3730951551,-398.16218672639997,-614.3675687751,-28.9476821151,-217.5625361559,-601.7998452159,-840.3392932599,-21.9040876656,-31.3900361244,-237.07072911,-788.0962632878999
1631800800,-541.6571382876,-313.1138049375,-398.52858864,-613.6550720679,-28.325010716399998,-216.9067829151,-601.4430057231,-839.9508516336,-21.9040876656,-31.3900361244,-237.4445351484,-788.4875683775999
1631804400,-541.2974430396,-312.0027147471,-397.4293318656,-611.7844444671,-27.9897075111,-216.9067829151,-602.2012693116001,-839.9508516336,-21.9040876656,-31.3900361244,-237.07072911,-788.0962632878999
1631808000,-540.1732857471,-309.7800750639,-397.79576780160005,-609.2004260079,-27.3669670044,-217.23466604759997,-601.4430057231,-838.7422288896,-21.9040876656,-31.3900361244,-236.6969060604,-787.7049366683998
1631811600,-539.0489623296,-307.5568229775,-397.79576780160005,-606.9721062279,-27.0795331584,-217.23466604759997,-601.0861492191001,-837.5765738871,-21.9040876656,-31.0548519975,-235.94920892759998,-785.2695317244
1631815200,-537.9244727871,-303.8963871996,-397.0628789184,-605.8576971504,-26.792089743600002,-217.5625361559,-601.0861492191001,-837.1448006391,-21.6164720124,-31.0548519975,-234.82753564439997,-783.2683969536
1631818800,-536.4398922204,-300.1879263036,-396.69640896,-604.0297066359,-26.4567269991,-217.23466604759997,-599.9708630016,-835.1583013479,-21.6164720124,-31.0548519975,-233.7057092604,-780.8749975551
1631822400,-533.82992796,-296.4777642876,-396.69640896,-602.5580726556,-26.1692628519,-216.9067829151,-599.2123734831,-833.1712396239,-21.6164720124,-31.0548519975,-232.9577399484,-780.0915285758998
1631826000,-532.3445491959,-292.4410321911,-395.9634180096,-600.3277726655999,-25.8338759196,-216.2509775775,-598.4984308239,-831.1836154671,-21.6164720124,-31.0548519975,-231.8356583964,-776.47775196
1631829600,-530.0934237759,-288.3558542151,-395.9634180096,-598.8554106591,-25.54639104,-215.59512014310002,-596.9810767431,-828.8063700636,-21.6164720124,-31.0548519975,-229.9651822524,-773.2542866076
1631833200,-527.8416338559,-284.3150753136,-394.49723197440005,-596.6240075991001,-25.54639104,-102.5349066876,-595.1509175664,-44.3086271424,-21.6164720124,-31.0548519975,-229.59103599,-766.8465987231
1631836800,-525.9946702716001,-280.9694609904,-394.13064293760004,-594.3919400391001,-24.9234743079,-104.6240308764,-593.6775380775,-48.5627312271,-21.6164720124,-30.767540951100006,-228.0475028439,-759.6038010639
1631840400,-524.5077652839,-277.2504956784,-394.13064293760004,-592.2038691324,-24.6359591271,-108.1363974384,-592.56114879,-52.1937827559,-21.6164720124,-30.767540951100006,-226.9247514759,-754.3634825919
1631844000,-522.2543274039,-273.5763480759,-393.7640368896,-588.09393039,-24.3005126556,-112.31137116,-591.0872605599,-56.3962401975,-21.6164720124,-30.767540951100006,-225.80184700709998,-747.9388762716002
1631847600,-520.76669439,-270.5986071351,-393.3974138304,-584.7864775536,-24.0129767424,-115.10934862709999,-590.7299107311002,-59.7853589616,-21.6164720124,-30.767540951100006,-224.6787894375,-743.1275906496
1631851200,-518.8729246464,-267.6197774775,-393.3974138304,-581.0750351199,-24.0129767424,-119.9917357884,-589.2109841775,-67.1794838751,-21.6164720124,-30.767540951100006,-223.5555787671,-736.2550028631
1631854800,-516.6178255164,-264.68642870040003,-393.03077376,-578.1224607039,-24.0129767424,-123.1187733504,-588.09393039,-73.8525595431,-21.6164720124,-30.767540951100006,-222.8066865975,-728.1921663975
1631858400,-514.7681483799,-261.7054386204,-392.2974425856,-574.7658570864,-23.7254312604,-126.2446530876,-587.0214024636,-81.5677593879,-21.6164720124,-30.767540951100006,-222.4322149959,-725.78033244
