"start","end","humidity"
1592114400,1592118000,82.775
1592118000,1592121600,77.65
1592121600,1592125200,79.65
1592125200,1592128800,75.625
1592128800,1592132400,72.425
1592132400,1592136000,64.425
1592136000,1592139600,63.925
1592139600,1592143200,63.55
1592143200,1592146800,63.125
1592146800,1592150400,59.25
1592150400,1592154000,59.575
1592154000,1592157600,64.1
1592157600,1592161200,67.175
1592161200,1592164800,69.375
1592164800,1592168400,73.5
1592168400,1592172000,78.175
1592172000,1592175600,86.1
1592175600,1592179200,93.85
1592179200,1592182800,91
1592182800,1592186400,87.8
1592186400,1592190000,92.45
1592190000,1592193600,93.25
1592193600,1592197200,92.3
1592197200,1592200800,90.375
1592200800,1592204400,88.8
1592204400,1592208000,87.6
1592208000,1592211600,84.65
1592211600,1592215200,84.975
1592215200,1592218800,80.525
1592218800,1592222400,79.65
1592222400,1592226000,77.4
1592226000,1592229600,77.125
1592229600,1592233200,75.625
1592233200,1592236800,77.775
1592236800,1592240400,79.8
1592240400,1592244000,80.525
1592244000,1592247600,82.325
1592247600,1592251200,85.3
1592251200,1592254800,87.175
1592254800,1592258400,89.35
1592258400,1592262000,92.1333333333333
1592262000,1592265600,95.95
1592265600,1592269200,95.9
1592269200,1592272800,96.6
1592272800,1592276400,95.925
1592276400,1592280000,96.225
1592280000,1592283600,95.4
1592283600,1592287200,94.45
1592287200,1592290800,91.7
1592290800,1592294400,87.55
1592294400,1592298000,84.475
1592298000,1592301600,82.45
1592301600,1592305200,75.675
1592305200,1592308800,72.675
1592308800,1592312400,69.925
1592312400,1592316000,67.325
1592316000,1592319600,59.85
1592319600,1592323200,62.4
1592323200,1592326800,63.225
1592326800,1592330400,65.1
1592330400,1592334000,63.95
1592334000,1592337600,69.9
1592337600,1592341200,74.975
1592341200,1592344800,79.425
1592344800,1592348400,86.1333333333333
1592348400,1592352000,94.95
1592352000,1592355600,96.15
1592355600,1592359200,91.15
1592359200,1592362800,91.3
1592362800,1592366400,93.8
1592366400,1592370000,93.6
1592370000,1592373600,88.025
1592373600,1592377200,81.475
1592377200,1592380800,80.9
1592380800,1592384400,78.55
1592384400,1592388000,74.825
1592388000,1592391600,73.95
