"start","end","temperature"
1591099200,1591102800,25.3225
1591102800,1591106400,26.0925
1591106400,1591110000,25.8725
1591110000,1591113600,26.705
1591113600,1591117200,26.4575
1591117200,1591120800,26.325
1591120800,1591124400,23.915
1591124400,1591128000,23.0425
1591128000,1591131600,22.71
1591131600,1591135200,21.9175
1591135200,1591138800,17.87
1591138800,1591142400,14.635
1591142400,1591146000,14.47
1591146000,1591149600,14.62
1591149600,1591153200,14.7125
1591153200,1591156800,14.0425
1591156800,1591160400,14.1525
1591160400,1591164000,15.6925
1591164000,1591167600,17.2025
1591167600,1591171200,18.2275
1591171200,1591174800,19.0725
1591174800,1591178400,21.17
1591178400,1591182000,23.4575
1591182000,1591185600,24.8325
1591185600,1591189200,25.5675
1591189200,1591192800,26.565
1591192800,1591196400,26.7625
1591196400,1591200000,25.9725
1591200000,1591203600,26.1425
1591203600,1591207200,26.435
1591207200,1591210800,25.2725
1591210800,1591214400,23.7325
1591214400,1591218000,23.3075
1591218000,1591221600,22.8625
1591221600,1591225200,21.72
1591225200,1591228800,20.775
1591228800,1591232400,19.815
1591232400,1591236000,18.3425
1591236000,1591239600,19.165
1591239600,1591243200,18.0025
1591243200,1591246800,16.3425
1591246800,1591250400,16.655
1591250400,1591254000,18.3275
1591254000,1591257600,17.305
1591257600,1591261200,15.9675
1591261200,1591264800,17.3375
1591264800,1591268400,17.9525
1591268400,1591272000,18.1025
1591272000,1591275600,18.675
1591275600,1591279200,19.315
1591279200,1591282800,19.765
1591282800,1591286400,20.745
1591286400,1591290000,20.1525
1591290000,1591293600,20.22
1591293600,1591297200,21.415
1591297200,1591300800,22.3725
1591300800,1591304400,21.24
1591304400,1591308000,19.08
1591308000,1591311600,18.0633333333333
1591311600,1591315200,17.14
1591315200,1591318800,16.525
1591318800,1591322400,16.455
1591322400,1591326000,16.3175
1591326000,1591329600,16.68
1591329600,1591333200,16.7275
1591333200,1591336800,16.8075
1591336800,1591340400,16.4975
1591340400,1591344000,17.6425
1591344000,1591347600,19.19
1591347600,1591351200,19.865
1591351200,1591354800,20.295
1591354800,1591358400,21.35
1591358400,1591362000,23.32
1591362000,1591365600,23.7525
1591365600,1591369200,23.78
1591369200,1591372800,23.13
1591372800,1591376400,24.1925
1591376400,1591380000,23.7475
1591380000,1591383600,22.98
1591383600,1591387200,20.715
1591387200,1591390800,19.525
1591390800,1591394400,18.5425
1591394400,1591398000,17.0033333333333
1591398000,1591401600,13.03
1591401600,1591405200,13.355
1591405200,1591408800,12.505
1591408800,1591412400,13.1725
1591412400,1591416000,12.095
1591416000,1591419600,12.6725
1591419600,1591423200,14.165
1591423200,1591426800,15.845
1591426800,1591430400,17.065
1591430400,1591434000,18.4025
1591434000,1591437600,20.7025
1591437600,1591441200,23.11
1591441200,1591444800,25.0725
1591444800,1591448400,25.795
1591448400,1591452000,25.4725
1591452000,1591455600,26.2375
1591455600,1591459200,26.9525
1591459200,1591462800,26.4425
1591462800,1591466400,25.21
1591466400,1591470000,24.7825
1591470000,1591473600,23.95
1591473600,1591477200,23.2
1591477200,1591480800,22.3525
1591480800,1591484400,20.7966666666667
1591484400,1591488000,16.81
1591488000,1591491600,15.3
1591491600,1591495200,14.52
1591495200,1591498800,16.65
1591498800,1591502400,15.275
1591502400,1591506000,14.6425
1591506000,1591509600,16.71
1591509600,1591513200,18.305
1591513200,1591516800,18.71
1591516800,1591520400,19.6525
1591520400,1591524000,22.6175
1591524000,1591527600,24.5375
1591527600,1591531200,25.295
1591531200,1591534800,26.1775
1591534800,1591538400,26.4225
1591538400,1591542000,26.5325
1591542000,1591545600,26.2575
1591545600,1591549200,26.27
1591549200,1591552800,25.58
1591552800,1591556400,25.1
1591556400,1591560000,23.955
1591560000,1591563600,22.955
1591563600,1591567200,21.885
1591567200,1591570800,20.15
1591570800,1591574400,17.93
1591574400,1591578000,17.995
1591578000,1591581600,17.785
1591581600,1591585200,17.44
1591585200,1591588800,16.325
1591588800,1591592400,16.4425
1591592400,1591596000,17.6025
1591596000,1591599600,18.155
1591599600,1591603200,18.315
1591603200,1591606800,19.17
1591606800,1591610400,20.005
1591610400,1591614000,20.2525
1591614000,1591617600,20.925
1591617600,1591621200,21.5825
1591621200,1591624800,20.4325
1591624800,1591628400,19.795
1591628400,1591632000,20.1625
1591632000,1591635600,20.805
1591635600,1591639200,19.8275
1591639200,1591642800,19.2825
1591642800,1591646400,19.5075
1591646400,1591650000,19.335
1591650000,1591653600,18.2625
1591653600,1591657200,16.0333333333333
1591657200,1591660800,13.3
1591660800,1591664400,12.805
1591664400,1591668000,13.24
1591668000,1591671600,12.9525
1591671600,1591675200,12.4025
